"year","age","gender","race","education","south","income","party_id","interest","gov_trust","abortion","dem_thermometer","rep_thermometer"
2012,64,2,2,2,1,4,1,2,2,2,85,70
2012,60,1,1,3,2,4,2,2,2,3,70,60
2012,43,1,1,6,2,3,3,2,NA,4,60,60
2012,54,2,1,5,2,2,6,3,2,2,30,70
2012,61,2,1,6,1,0,5,3,NA,1,0,85
2012,47,2,1,6,2,4,3,2,NA,4,50,50
2012,61,1,1,6,2,4,7,3,2,2,30,60
2012,32,1,2,5,1,3,1,2,3,4,97,0
2012,68,1,2,5,2,3,1,3,3,2,80,40
2012,37,1,1,6,2,5,6,3,2,2,25,60
2012,46,1,1,5,2,4,1,2,NA,4,75,40
2012,47,1,2,3,1,3,2,2,3,4,60,50
2012,40,1,1,6,2,3,5,3,2,4,45,45
2012,56,1,1,5,1,3,5,3,NA,2,40,70
2012,33,2,1,3,1,3,4,2,2,1,99,99
2012,62,2,2,5,2,1,6,3,2,4,97,0
2012,23,1,2,5,1,1,1,2,NA,1,90,0
2012,22,2,1,3,2,1,4,3,NA,4,0,0
2012,48,2,2,3,1,2,1,3,NA,3,50,50
2012,66,1,1,6,1,5,2,3,NA,4,60,30
2012,31,1,2,5,1,2,4,2,2,2,65,60
2012,23,1,1,5,2,1,4,3,NA,3,55,35
2012,23,2,1,4,2,1,7,2,NA,1,30,75
2012,38,1,1,3,2,1,1,2,2,4,90,40
2012,23,2,1,6,2,3,1,3,NA,4,97,0
2012,65,1,1,6,2,2,5,2,2,4,40,30
2012,53,1,1,3,2,4,5,2,NA,4,50,50
2012,62,2,1,3,2,2,6,3,NA,4,50,97
2012,42,2,1,6,2,4,2,2,NA,4,75,30
2012,68,1,1,6,2,4,6,3,NA,2,0,60
2012,32,2,2,4,2,1,1,3,NA,2,97,30
2012,35,1,1,5,2,4,6,2,2,2,50,50
2012,62,1,1,4,2,5,3,2,NA,3,60,40
2012,56,1,1,5,1,4,5,3,NA,4,50,50
2012,47,1,3,6,2,1,7,3,2,4,40,60
2012,64,1,1,6,2,5,6,2,NA,3,30,60
2012,56,1,3,5,2,1,1,3,2,4,97,0
2012,41,2,1,3,2,1,7,2,NA,2,30,70
2012,41,1,3,6,2,4,2,2,NA,4,70,0
2012,60,1,3,5,2,4,6,2,NA,4,0,0
2012,59,1,1,3,2,1,6,3,NA,2,50,50
2012,41,1,2,6,2,3,2,2,NA,2,50,40
2012,79,1,1,2,1,1,7,3,NA,4,15,70
2012,83,1,1,3,2,3,2,3,2,4,60,40
2012,58,1,1,5,2,4,1,3,2,4,70,9
2012,65,2,1,5,1,3,3,3,2,4,50,40
2012,47,1,1,6,1,4,1,2,3,4,90,25
2012,63,2,3,6,1,1,1,3,3,4,85,0
2012,66,2,3,4,1,2,6,2,NA,4,50,60
2012,71,1,1,5,1,3,2,2,NA,4,50,40
2012,75,1,1,3,2,2,1,2,2,4,65,65
2012,62,1,1,5,2,1,1,2,NA,3,65,40
2012,70,2,3,5,2,1,1,3,NA,2,85,0
2012,55,1,3,6,1,3,3,3,NA,4,85,60
2012,34,2,3,3,1,1,2,3,2,4,0,0
2012,67,2,2,5,1,1,1,2,NA,4,85,0
2012,68,1,1,6,2,3,3,2,2,3,40,15
2012,63,1,1,5,1,2,6,3,NA,4,50,50
2012,79,1,1,3,2,1,2,3,NA,4,70,40
2012,68,1,3,6,1,1,1,2,3,4,70,30
2012,67,1,1,6,2,4,1,3,2,4,70,0
2012,50,1,3,3,2,1,1,3,NA,1,70,40
2012,71,1,1,6,2,4,5,2,NA,3,45,55
2012,67,1,1,6,2,2,3,3,2,4,70,30
2012,67,1,1,6,2,2,1,3,NA,4,70,0
2012,66,1,1,6,2,4,1,3,NA,4,75,0
2012,44,2,1,3,2,4,2,3,2,2,50,50
2012,65,1,3,6,2,1,5,3,NA,1,0,97
2012,41,1,1,6,2,5,4,3,2,4,0,30
2012,50,1,1,4,2,4,7,2,NA,2,10,75
2012,68,2,1,5,2,3,4,2,NA,3,60,15
2012,73,2,1,6,2,3,3,3,3,3,50,10
2012,34,2,9,6,2,0,4,2,NA,4,0,30
2012,50,1,1,6,1,4,6,3,2,4,30,70
2012,39,2,3,6,2,4,6,2,4,4,85,0
2012,62,1,1,6,2,5,3,3,NA,4,60,0
2012,54,2,3,4,2,4,2,2,NA,4,60,15
2012,64,1,3,5,2,3,4,2,2,2,40,5
2012,67,2,3,6,1,2,7,3,NA,3,30,70
2012,59,1,3,6,1,2,1,3,2,4,97,0
2012,48,1,3,2,2,3,2,3,NA,2,97,0
2012,70,1,3,1,1,2,2,2,NA,3,85,60
2012,57,1,3,6,2,2,4,3,NA,1,40,15
2012,50,2,3,6,2,4,5,3,2,2,49,51
2012,49,1,1,6,2,3,7,3,2,3,25,65
2012,26,1,1,5,2,2,3,2,NA,4,40,0
2012,44,2,3,6,1,3,1,2,2,4,85,0
2012,54,2,1,4,1,4,4,3,NA,4,35,60
2012,54,2,2,3,1,1,3,2,2,4,60,0
2012,62,1,2,5,2,1,1,3,3,3,97,15
2012,48,1,3,2,1,0,1,2,2,1,65,15
2012,70,2,1,5,1,3,6,3,NA,4,0,60
2012,70,2,1,3,2,3,5,2,2,3,60,70
2012,20,1,1,5,2,1,4,3,NA,4,60,50
2012,71,2,1,3,2,2,3,2,NA,3,60,50
2012,76,2,1,5,2,2,6,2,NA,4,50,70
2012,62,1,3,5,1,3,7,3,2,2,97,0
2012,51,2,3,5,2,1,2,3,2,3,40,0
2012,65,2,1,3,2,3,6,2,2,2,40,70
2012,36,1,1,6,2,3,3,2,NA,4,45,10
2012,35,1,3,5,2,5,6,2,NA,2,30,60
2012,80,2,1,3,2,2,7,3,2,1,15,85
2012,62,2,1,5,2,4,3,3,2,4,60,0
2012,40,2,1,6,2,4,2,3,NA,4,70,30
2012,72,1,1,3,2,2,4,2,3,4,99,99
2012,65,2,2,5,2,3,1,3,2,4,85,50
2012,54,2,2,3,2,1,1,2,NA,4,97,50
2012,70,1,1,6,1,3,5,2,2,3,49,60
2012,64,2,3,5,2,1,1,2,2,1,85,60
2012,60,2,2,5,2,3,1,3,NA,4,85,10
2012,65,2,1,6,2,0,7,3,2,4,10,80
2012,61,2,1,3,2,4,1,3,NA,4,85,0
2012,45,1,2,5,2,5,1,3,NA,4,85,0
2012,45,1,1,4,2,1,4,3,2,4,30,30
2012,58,2,1,6,2,3,4,2,NA,4,30,15
2012,54,2,3,5,1,3,7,3,NA,2,40,70
2012,70,2,1,2,1,1,1,3,NA,4,70,50
2012,66,2,3,3,2,3,1,3,NA,4,85,0
2012,80,2,3,6,1,3,7,3,2,2,0,97
2012,59,1,3,5,2,4,2,3,2,3,65,40
2012,19,1,3,5,2,1,2,3,2,4,60,40
2012,37,1,1,6,2,4,2,3,NA,4,90,10
2012,61,1,1,4,2,3,5,2,NA,4,0,6
2012,58,1,1,5,2,4,1,3,NA,4,90,0
2012,33,2,1,3,2,3,2,3,NA,1,50,40
2012,45,1,3,3,2,3,1,2,NA,4,97,0
2012,23,2,1,6,2,5,7,2,2,2,0,90
2012,71,1,1,6,1,4,6,3,2,4,10,70
2012,33,2,1,6,1,4,6,2,NA,2,40,60
2012,61,2,3,3,1,3,7,3,2,2,15,97
2012,58,2,3,5,2,2,4,3,NA,2,50,50
2012,76,1,3,3,2,1,2,2,NA,1,85,40
2012,31,1,1,4,1,3,2,2,3,3,85,60
2012,63,1,2,6,2,4,3,2,NA,3,85,15
2012,44,2,3,5,2,3,2,2,2,2,0,40
2012,41,2,1,6,2,4,1,2,NA,4,85,15
2012,68,1,1,6,2,3,7,3,2,3,0,70
2012,62,2,1,3,2,3,2,3,2,1,50,60
2012,52,1,1,3,2,3,7,2,2,4,0,60
2012,47,1,1,6,1,3,2,3,3,1,70,0
2012,29,2,3,3,1,3,2,2,NA,4,60,40
2012,41,1,2,5,2,2,6,3,NA,4,50,50
2012,58,2,1,6,2,4,2,3,2,4,60,30
2012,61,2,1,2,2,3,6,3,NA,2,0,50
2012,40,1,3,6,2,1,4,2,3,2,60,50
2012,60,1,3,6,1,4,5,3,NA,3,0,70
2012,65,1,1,3,2,1,7,2,NA,2,25,90
2012,56,1,3,5,1,1,1,2,3,2,97,50
2012,45,1,3,2,2,3,1,3,NA,4,97,50
2012,59,1,1,5,2,4,1,2,2,2,85,0
2012,64,1,3,3,1,3,2,2,NA,2,85,50
2012,86,1,1,3,1,4,6,3,3,4,15,15
2012,44,1,3,6,2,4,1,3,NA,4,80,5
2012,31,2,1,3,1,3,6,3,NA,2,30,85
2012,28,2,1,6,2,3,6,2,NA,1,50,50
2012,56,2,2,5,1,2,3,3,2,3,70,30
2012,83,2,1,6,1,4,1,3,NA,3,85,15
2012,30,2,1,5,2,4,3,3,2,3,10,5
2012,49,1,1,3,2,5,1,2,NA,4,60,0
2012,44,1,3,3,2,1,4,2,4,3,0,0
2012,68,2,1,6,2,3,4,3,NA,2,50,0
2012,70,1,1,5,2,4,5,3,NA,4,15,15
2012,44,2,1,4,1,3,5,2,2,3,60,70
2012,59,1,1,3,2,3,1,2,2,2,70,0
2012,48,1,1,6,2,4,7,3,2,2,0,85
2012,62,1,1,4,2,2,4,3,NA,4,50,50
2012,85,1,1,3,1,3,7,3,2,2,15,70
2012,67,1,1,5,1,3,7,3,3,3,0,97
2012,33,1,3,6,1,4,3,2,NA,4,70,50
2012,52,1,1,5,2,4,2,3,2,4,85,10
2012,19,1,1,5,2,3,1,2,NA,4,50,50
2012,66,2,1,5,2,3,4,3,NA,4,60,70
2012,38,1,3,5,1,3,7,3,NA,2,15,95
2012,61,1,1,5,2,4,7,3,2,4,0,70
2012,67,2,1,3,2,3,2,2,NA,2,0,0
2012,20,1,1,5,2,5,1,3,NA,4,75,15
2012,30,1,1,5,2,3,4,3,2,2,40,40
2012,73,1,1,3,1,3,6,3,2,4,50,60
2012,46,2,1,6,2,4,3,3,NA,4,45,45
2012,70,2,1,6,2,3,3,3,2,4,60,30
2012,47,2,1,5,1,4,7,2,2,2,30,85
2012,69,2,3,2,1,3,1,3,NA,4,97,15
2012,32,1,2,6,2,3,4,3,2,4,50,50
2012,32,1,1,9,2,3,3,3,2,4,70,15
2012,69,1,1,2,2,4,7,3,NA,2,55,70
2012,64,2,1,5,2,2,3,3,NA,4,40,30
2012,60,1,1,9,2,4,3,3,2,4,60,0
2012,63,2,1,6,2,4,5,3,2,2,50,50
2012,56,1,1,6,2,4,1,3,NA,4,97,0
2012,67,2,2,2,2,5,1,3,NA,4,97,50
2012,49,2,3,2,2,1,4,2,NA,1,50,50
2012,22,2,1,6,2,4,3,2,2,4,60,15
2012,52,2,1,5,2,4,1,3,NA,4,75,25
2012,59,1,3,5,1,3,2,3,NA,4,50,0
2012,40,2,1,6,2,3,2,3,NA,4,60,15
2012,57,1,1,5,2,2,7,2,NA,1,5,80
2012,64,2,3,3,1,2,1,3,NA,4,70,0
2012,65,2,2,6,2,3,1,3,NA,3,85,15
2012,67,2,1,5,2,2,4,2,NA,2,50,50
2012,41,1,2,9,2,4,1,3,NA,4,97,0
2012,77,1,1,6,2,4,3,2,2,4,40,30
2012,61,2,1,6,1,0,7,3,NA,2,0,97
2012,48,1,1,3,2,2,1,3,2,4,60,15
2012,66,2,1,3,1,2,3,2,NA,4,85,0
2012,41,2,3,3,2,3,1,3,NA,3,85,15
2012,65,2,2,3,2,1,1,3,NA,4,85,40
2012,59,1,1,3,2,3,6,3,NA,3,50,60
2012,65,1,2,6,1,4,6,3,2,4,70,30
2012,33,1,1,6,2,4,2,3,NA,4,75,45
2012,68,2,1,3,2,1,4,2,NA,4,50,30
2012,58,2,2,6,1,3,1,3,NA,4,97,0
2012,64,1,1,1,2,2,3,3,NA,2,50,15
2012,61,2,1,6,1,3,6,2,NA,3,50,70
2012,48,2,1,5,2,4,4,3,2,4,60,60
2012,57,1,1,6,2,4,4,2,NA,2,60,45
2012,81,1,1,5,2,4,3,2,2,2,60,30
2012,66,2,1,1,2,3,1,3,NA,3,60,15
2012,62,1,1,5,2,4,5,2,NA,2,30,30
2012,59,1,3,6,2,4,7,3,2,2,0,85
2012,57,2,1,2,2,2,4,3,2,2,45,45
2012,61,1,1,6,2,1,3,3,3,4,60,15
2012,44,1,1,2,1,4,5,3,2,3,40,60
2012,53,2,1,6,2,3,6,2,NA,1,50,60
2012,82,1,1,6,2,3,7,3,2,3,40,85
2012,64,2,3,6,2,0,2,3,NA,2,85,50
2012,49,1,1,6,2,4,7,2,2,4,30,60
2012,65,1,1,5,2,1,7,3,NA,4,0,97
2012,33,1,3,5,1,4,6,3,NA,4,15,60
2012,73,2,2,5,2,3,1,3,2,2,85,50
2012,54,2,2,2,2,1,1,3,NA,4,97,0
2012,29,1,1,2,1,1,6,3,NA,1,45,55
2012,67,1,1,6,2,4,7,3,NA,2,15,60
2012,39,2,1,9,1,3,3,3,2,2,70,30
2012,70,1,1,5,2,3,7,3,NA,3,30,85
2012,53,1,1,3,2,4,6,3,NA,3,60,70
2012,55,2,2,4,2,2,4,2,2,2,50,50
2012,72,2,2,5,1,3,2,3,3,1,97,40
2012,62,2,2,3,2,1,1,3,3,4,85,50
2012,46,2,1,6,2,4,3,3,NA,2,40,30
2012,78,1,1,5,1,3,1,3,NA,4,85,30
2012,73,2,3,3,2,3,1,2,3,4,97,15
2012,43,2,1,6,2,4,2,2,2,4,80,10
2012,24,1,1,5,2,3,7,2,NA,2,30,90
2012,64,2,1,3,1,3,4,2,2,2,50,50
2012,50,1,3,3,2,3,2,2,NA,3,60,30
2012,76,1,1,4,2,1,4,3,NA,4,50,50
2012,52,1,1,6,2,3,3,3,2,4,55,25
2012,25,1,2,3,2,2,2,3,NA,4,70,30
2012,53,2,1,5,2,4,2,2,2,4,70,0
2012,61,1,1,2,2,2,4,3,2,2,97,0
2012,72,2,3,1,1,3,6,2,NA,2,70,40
2012,57,2,3,6,1,1,1,2,NA,2,85,0
2012,52,1,1,5,2,3,7,3,NA,2,0,70
2012,47,2,1,6,1,1,5,2,NA,4,50,60
2012,76,1,3,3,1,2,2,2,NA,3,70,50
2012,72,1,3,1,2,1,1,3,4,1,97,0
2012,73,1,3,6,1,1,4,3,NA,1,30,70
2012,82,2,3,3,1,1,3,3,3,2,60,40
2012,69,1,1,6,1,2,1,3,2,4,80,0
2012,75,1,1,6,2,3,3,3,NA,4,70,40
2012,53,1,1,6,2,3,5,3,2,4,20,70
2012,66,2,3,9,1,2,1,2,NA,2,70,40
2012,75,2,1,4,2,4,5,2,2,4,10,25
2012,42,1,1,6,2,3,7,2,3,1,30,50
2012,32,2,2,5,2,3,1,2,2,2,70,0
2012,71,2,1,5,2,1,2,2,NA,4,60,40
2012,51,2,1,4,1,3,7,3,2,1,1,50
2012,65,2,1,3,2,5,5,3,2,4,40,60
2012,78,1,1,3,2,1,2,2,2,4,70,40
2012,50,2,2,2,2,3,1,2,NA,4,97,0
2012,76,2,1,6,2,4,2,3,2,4,0,60
2012,44,2,1,5,2,4,4,3,2,4,50,50
2012,71,2,3,5,1,1,1,3,NA,2,85,30
2012,57,1,2,5,2,1,1,2,3,4,97,0
2012,43,1,1,3,2,4,4,2,2,2,50,60
2012,66,2,1,3,2,1,6,3,NA,1,40,70
2012,71,1,1,6,2,2,6,3,2,2,36,65
2012,62,2,1,6,2,4,1,3,3,3,85,30
2012,49,1,1,2,1,3,4,3,NA,4,40,65
2012,73,2,1,3,2,2,7,3,NA,1,0,80
2012,55,1,1,6,2,3,7,3,NA,1,15,85
2012,56,2,1,3,2,2,2,2,2,4,60,15
2012,89,1,1,5,2,2,7,3,NA,2,0,97
2012,50,1,1,3,1,3,2,2,NA,4,70,0
2012,35,2,1,6,1,5,6,3,2,3,40,70
2012,44,1,1,5,2,3,6,2,NA,4,50,80
2012,47,2,1,5,2,1,7,3,NA,2,40,50
2012,54,1,2,5,1,3,2,3,NA,4,60,15
2012,54,2,1,6,2,4,2,2,2,3,60,30
2012,47,1,3,6,2,4,3,3,NA,3,70,40
2012,25,2,3,6,2,4,1,3,NA,4,97,0
2012,57,2,1,3,1,4,6,3,NA,3,30,60
2012,53,2,1,3,1,4,4,2,NA,2,60,60
2012,61,1,1,3,2,3,7,3,NA,4,15,70
2012,30,2,2,6,1,3,1,3,NA,4,80,40
2012,73,1,2,5,1,4,1,3,3,2,97,0
2012,38,1,1,6,2,4,2,2,NA,3,70,0
2012,71,2,1,2,2,1,3,2,NA,2,50,15
2012,52,1,1,2,2,3,1,3,NA,2,70,0
2012,48,2,3,3,2,3,2,2,NA,2,50,50
2012,39,1,1,3,2,1,2,3,2,4,97,15
2012,62,1,2,5,2,4,2,2,3,4,85,40
2012,48,2,1,6,2,1,3,2,NA,4,40,15
2012,32,2,3,5,2,1,3,3,2,4,85,40
2012,37,2,1,5,1,5,1,3,NA,4,60,15
2012,62,2,3,2,2,2,7,3,NA,1,0,97
2012,50,1,1,6,2,4,1,3,NA,4,70,0
2012,78,1,1,3,2,2,5,3,NA,3,15,70
2012,55,2,1,6,2,3,4,3,2,3,50,50
2012,59,2,2,4,2,1,3,2,3,4,89,1
2012,55,2,2,3,1,0,4,2,NA,2,80,50
2012,41,2,3,4,2,4,4,3,0,0,50,50
2012,42,2,2,3,1,1,1,3,NA,1,60,60
2012,43,1,1,6,2,4,4,3,2,4,50,10
2012,27,1,1,6,1,3,5,3,NA,2,0,40
2012,54,1,1,9,2,3,7,3,2,4,15,70
2012,63,1,2,5,1,3,1,3,2,4,85,0
2012,59,2,2,4,1,1,1,3,NA,3,97,0
2012,51,2,1,5,1,2,1,3,NA,4,85,30
2012,65,2,2,5,1,2,2,3,NA,2,70,70
2012,69,2,1,6,2,4,2,2,2,4,40,40
2012,78,1,1,5,2,2,3,3,NA,3,50,55
2012,65,2,1,5,2,1,1,3,2,4,60,15
2012,78,1,1,6,2,2,2,3,NA,4,70,0
2012,75,1,1,6,1,4,7,3,NA,3,70,20
2012,55,1,1,6,2,4,1,3,NA,4,60,35
2012,30,1,1,6,2,4,6,2,NA,1,50,60
2012,42,2,3,4,1,2,4,3,NA,4,50,50
2012,74,2,1,3,2,3,3,2,2,2,60,60
2012,65,1,3,5,2,3,5,3,2,2,30,50
2012,49,1,1,6,2,4,7,2,NA,2,15,70
2012,54,1,1,6,2,1,6,2,2,4,0,0
2012,80,2,1,5,2,4,7,3,NA,1,30,85
2012,45,1,1,2,2,2,4,3,NA,1,60,50
2012,45,2,2,5,2,1,2,2,NA,3,85,15
2012,61,2,1,5,1,3,4,3,NA,1,50,50
2012,56,1,1,3,2,3,6,2,2,4,40,60
2012,56,2,3,5,2,4,7,2,2,1,30,60
2012,30,2,3,3,1,3,7,3,3,1,50,50
2012,65,2,1,6,2,3,4,2,NA,4,50,50
2012,38,2,1,6,2,4,1,2,2,4,65,25
2012,48,1,1,5,2,3,2,2,NA,4,60,30
2012,28,2,3,5,1,2,1,3,NA,4,97,0
2012,46,2,3,3,2,3,7,3,3,1,0,97
2012,47,1,1,6,2,4,3,2,NA,4,53,12
2012,64,1,2,6,2,5,1,3,NA,4,85,0
2012,20,1,1,3,2,3,4,3,2,4,50,50
2012,47,1,1,4,1,4,6,2,NA,2,30,50
2012,81,2,1,6,2,4,7,3,NA,3,15,60
2012,65,2,3,3,1,0,5,2,4,1,50,50
2012,53,1,1,3,1,0,7,2,2,1,30,70
2012,51,1,1,6,1,3,3,2,NA,3,70,60
2012,70,1,1,3,2,4,4,2,2,2,40,50
2012,50,2,1,6,2,4,1,2,2,4,70,15
2012,70,1,1,6,2,4,5,3,NA,4,10,60
2012,53,2,1,3,2,3,1,2,2,2,85,15
2012,56,2,1,5,2,3,5,3,NA,1,40,60
2012,69,2,2,3,1,2,1,2,NA,2,75,0
2012,63,2,1,5,2,3,4,2,NA,3,85,0
2012,63,2,1,5,2,1,5,2,2,1,40,50
2012,20,2,3,3,2,3,1,2,NA,3,75,30
2012,55,2,1,3,1,1,7,3,NA,3,0,85
2012,57,1,2,3,1,2,1,3,NA,4,90,30
2012,42,2,1,3,2,2,7,2,2,2,0,97
2012,61,2,3,6,2,3,2,3,NA,4,60,50
2012,67,2,1,9,2,3,4,3,NA,4,0,0
2012,60,1,2,5,1,4,1,3,NA,2,85,0
2012,31,2,2,5,1,1,1,2,NA,4,70,40
2012,51,1,9,3,2,0,6,3,3,0,60,70
2012,49,2,2,6,2,4,1,3,2,4,70,0
2012,31,1,2,4,2,3,2,3,2,2,80,0
2012,51,1,2,6,1,3,2,2,NA,2,85,40
2012,62,1,1,4,2,2,1,3,NA,4,97,0
2012,52,2,1,6,2,3,6,2,NA,1,60,85
2012,72,1,1,2,2,3,1,3,NA,3,30,65
2012,64,2,3,3,1,2,4,3,NA,3,70,97
2012,43,1,1,5,2,3,4,2,2,1,0,25
2012,32,2,3,3,1,0,2,2,NA,1,60,15
2012,38,2,1,3,2,1,4,3,4,2,70,50
2012,51,2,1,6,2,3,2,2,2,4,85,0
2012,52,1,1,5,1,4,7,2,2,1,15,70
2012,50,1,2,5,1,3,4,2,2,3,70,30
2012,55,2,2,6,1,1,4,2,2,4,60,70
2012,34,1,3,6,1,4,2,2,NA,2,85,30
2012,26,1,3,6,2,3,4,3,2,3,50,50
2012,59,2,3,6,2,4,5,3,NA,3,15,60
2012,48,2,2,3,2,1,1,3,NA,4,97,0
2012,78,1,1,6,1,4,6,3,3,4,40,60
2012,61,1,1,2,2,4,5,3,NA,2,40,70
2012,55,1,1,3,2,2,6,3,2,3,38,85
2012,78,1,1,6,2,2,7,2,NA,4,30,97
2012,40,2,1,6,2,1,7,2,2,4,15,85
2012,49,2,1,5,2,3,5,2,2,2,15,40
2012,64,1,1,9,1,4,7,2,NA,2,15,70
2012,56,1,1,3,2,3,2,2,NA,3,30,30
2012,41,1,1,3,2,4,4,2,NA,1,50,50
2012,29,1,1,5,2,1,1,3,2,3,75,0
2012,29,1,1,6,2,3,6,3,NA,1,15,45
2012,58,1,2,5,2,1,1,2,NA,2,85,50
2012,70,1,1,5,1,4,6,3,NA,2,40,60
2012,26,2,1,3,2,3,2,3,NA,2,70,40
2012,70,1,1,3,2,4,5,2,NA,1,30,40
2012,48,1,1,6,2,5,4,3,2,4,50,50
2012,35,1,1,6,2,4,7,3,NA,2,0,68
2012,31,1,1,6,2,3,7,3,NA,2,30,75
2012,51,1,1,4,2,2,1,2,2,4,50,15
2012,58,1,3,2,2,1,7,2,NA,2,0,97
2012,60,2,3,6,2,4,7,3,NA,4,0,97
2012,41,1,3,6,2,4,4,3,NA,4,0,0
2012,36,1,3,3,2,3,4,3,NA,2,50,0
2012,24,2,1,6,2,4,6,3,NA,1,15,85
2012,63,1,3,6,2,5,5,3,2,3,15,40
2012,35,1,2,6,1,2,2,3,3,4,75,35
2012,51,1,1,5,1,4,6,2,NA,3,50,30
2012,59,1,1,3,2,3,4,3,2,2,40,40
2012,72,2,1,3,2,4,5,3,NA,4,30,30
2012,19,1,3,5,2,3,2,3,3,4,60,15
2012,79,2,2,4,1,1,1,3,NA,1,97,60
2012,33,2,2,2,2,2,1,3,2,1,97,0
2012,86,2,1,5,2,3,6,2,NA,4,50,50
2012,52,1,3,4,1,2,1,3,NA,4,85,30
2012,63,2,2,1,2,4,1,3,NA,2,97,0
2012,54,1,2,3,1,3,2,2,NA,2,85,30
2012,55,2,1,5,2,4,2,2,2,4,60,15
2012,69,2,3,6,2,4,5,2,4,2,50,70
2012,64,1,1,6,2,1,3,2,NA,2,60,40
2012,63,2,1,3,2,0,4,2,2,3,50,50
2012,54,1,1,6,1,3,5,3,NA,2,0,60
2012,26,1,1,6,2,3,3,2,NA,4,75,50
2012,22,1,1,5,2,1,6,2,NA,4,2,65
2012,39,1,9,5,1,0,4,2,NA,0,99,99
2012,38,1,1,5,2,3,6,3,NA,1,50,60
2012,31,1,3,3,1,3,2,2,3,3,85,55
2012,39,2,1,6,2,3,2,2,NA,2,85,40
2012,83,2,1,4,1,3,2,2,NA,2,60,50
2012,47,2,1,6,1,1,5,3,3,3,50,50
2012,58,2,1,6,2,3,5,2,NA,2,60,50
2012,25,2,1,6,2,4,1,3,NA,4,97,0
2012,52,2,3,6,2,3,1,3,NA,4,65,15
2012,66,1,1,3,2,3,2,2,NA,4,97,30
2012,51,2,1,6,1,4,4,3,2,3,70,40
2012,52,2,2,5,2,3,1,3,2,4,70,0
2012,90,2,3,1,2,1,1,2,NA,4,97,0
2012,41,2,1,5,2,3,6,3,NA,2,40,85
2012,76,1,1,2,2,1,5,2,NA,4,30,85
2012,61,1,1,6,2,5,6,2,NA,2,30,50
2012,47,2,1,6,1,4,4,2,2,3,50,50
2012,61,2,2,5,2,3,1,3,NA,4,85,15
2012,55,1,1,6,2,1,7,2,2,1,0,75
2012,49,1,1,5,2,3,7,3,NA,3,40,65
2012,45,2,1,9,1,4,7,3,2,1,0,85
2012,30,1,2,6,1,3,1,3,NA,4,85,30
2012,34,2,1,6,2,3,7,2,NA,1,45,80
2012,51,1,1,5,2,5,7,2,NA,4,0,70
2012,34,2,2,6,2,4,2,2,NA,4,85,0
2012,52,2,1,5,2,4,6,2,NA,4,50,70
2012,72,2,1,5,2,3,7,3,2,2,30,70
2012,53,2,1,1,1,1,5,2,NA,1,0,60
2012,68,1,1,3,2,2,7,3,NA,2,0,85
2012,54,1,1,3,1,4,1,3,2,3,55,50
2012,60,1,1,6,2,4,6,3,2,3,50,70
2012,61,1,3,5,2,3,4,2,NA,2,50,50
2012,55,2,3,3,2,3,6,2,2,1,5,70
2012,68,1,3,4,2,4,5,3,2,2,40,60
2012,56,2,1,3,2,1,3,3,2,2,50,50
2012,47,2,3,3,1,3,2,2,2,3,85,15
2012,56,2,1,4,2,3,6,2,NA,4,15,70
2012,34,2,1,5,2,4,2,3,NA,4,40,0
2012,50,1,3,6,1,3,3,2,NA,3,40,15
2012,21,1,1,2,2,1,7,3,4,1,50,97
2012,69,1,2,3,1,3,1,2,NA,1,15,15
2012,33,1,3,4,2,1,6,2,2,2,40,40
2012,35,1,1,6,2,4,5,3,NA,3,40,55
2012,54,1,2,2,1,2,4,2,3,2,85,10
2012,24,1,1,6,1,0,7,2,2,4,0,97
2012,67,2,3,2,2,1,1,3,3,2,97,85
2012,47,1,3,6,2,5,6,3,2,1,0,70
2012,51,2,3,1,2,2,4,3,NA,3,50,50
2012,39,1,1,6,2,4,2,2,3,2,50,50
2012,66,1,2,5,1,2,1,3,3,4,85,30
2012,43,1,2,4,1,3,1,2,2,4,85,60
2012,41,1,1,5,2,3,2,2,3,4,70,30
2012,57,2,1,6,2,3,1,2,NA,4,85,0
2012,54,1,1,5,2,3,4,2,2,3,15,30
2012,34,2,1,6,2,4,1,2,2,4,85,30
2012,70,1,3,5,1,1,7,3,NA,2,0,85
2012,65,1,1,6,1,3,1,2,NA,4,70,15
2012,55,1,1,3,2,1,7,3,2,2,15,85
2012,53,2,1,6,2,0,2,2,NA,1,55,35
2012,23,1,1,6,1,1,4,3,2,1,0,0
2012,68,2,1,5,2,4,1,2,3,4,70,40
2012,41,2,1,5,2,2,3,2,NA,4,85,40
2012,35,2,1,2,2,1,4,3,NA,4,0,0
2012,51,1,1,6,2,4,5,3,2,4,40,60
2012,67,1,1,6,2,4,1,2,2,4,85,10
2012,71,2,3,4,1,2,1,3,NA,1,97,0
2012,33,2,3,4,1,3,1,2,NA,2,70,40
2012,51,2,3,3,2,2,1,3,3,1,97,15
2012,62,1,1,3,2,1,1,3,2,2,97,0
2012,20,2,3,3,2,3,1,3,3,1,85,0
2012,61,2,1,6,2,3,5,2,NA,4,50,70
2012,47,1,1,6,2,4,6,3,2,1,0,85
2012,60,2,1,5,2,3,4,2,2,2,60,50
2012,79,1,1,3,2,3,2,3,2,2,85,50
2012,65,1,1,3,2,1,3,2,NA,4,25,10
2012,42,2,1,6,2,4,2,2,NA,3,50,30
